name,isSafe,isPE,seemsPacked,amountOfSuspiciousSections,amountOfZeroEntropy,lowestEntropy,highestEntropy,Machine,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics
6913,0,1,0,4,0,0.16032872589902852,7.079599848391173,332,8,1334783899,0,0,224,270
1619,0,1,0,5,0,0.16032872589902852,7.080699887723087,332,9,1335141628,0,0,224,270
2900,0,1,1,0,0,4.006001550744785,7.731882097091797,332,4,1344692537,0,0,224,271
5624,0,1,1,0,0,3.429167593661744,7.8307791388807955,332,4,1340741593,0,0,224,271
5132,0,1,1,0,0,4.025047170111865,7.771236990984487,332,4,1332442873,0,0,224,271
764,0,1,1,2,0,0.16032872589902852,7.567251129986522,332,6,1334489103,0,0,224,270
5240,0,1,1,0,0,2.0733083081144748,7.74600160402063,332,5,1213377447,0,0,224,8450
2336,0,1,1,1,1,4.245318003577398,7.468390552164353,332,5,1335978445,0,0,224,271
2500,0,1,0,0,0,0.4023792985675851,6.63906342506541,332,4,1319571264,0,0,224,271
3166,0,1,1,0,0,3.8067363487314534,7.768873848539194,332,4,1332576541,0,0,224,271
1973,0,1,1,0,0,2.657406349289959,7.639134056410916,332,4,1333049649,0,0,224,271
6506,1,1,0,3,1,0.2069200177871819,7.296145528549678,332,9,0,130048,0,224,271
3756,0,1,1,0,0,4.958055078533667,7.976443707000505,332,4,1342295985,0,0,224,271
3219,0,1,1,0,0,0.7327050602348165,7.750365460224604,332,4,1331408674,0,0,224,271
7019,0,1,0,0,0,2.610395381606878,6.620693032363221,332,5,1325126816,0,0,224,8450
4997,0,1,1,0,0,3.4557704069137674,7.830436282893424,332,4,1340823655,0,0,224,271
3751,0,1,0,0,0,2.5972473294727156,6.6443635434325525,332,5,1333758254,0,0,224,8450
1704,0,1,1,0,0,0.6747634836817183,7.963648079258262,332,4,1341523794,0,0,224,271
834,0,1,1,4,0,0.020393135236084953,7.980783377244371,332,8,1336941911,0,0,224,258
1637,0,1,1,0,0,1.4472620917641368,7.887742130428677,332,4,1333809269,0,0,224,271
776,0,1,1,0,0,4.19189111895225,7.852165004693103,332,4,1335291770,0,0,224,271
